task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
navi_bench/craigslist/cars_trucks/11,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Search for gasoline SUVs under $20,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_fuel_type=1&auto_bodytype=10&max_price=20000#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,hard,null,0,validation,null
navi_bench/craigslist/cars_trucks/12,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Find SUVs with images under $18,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_bodytype=10&hasPic=1&max_price=18000#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,medium,null,0,validation,null
navi_bench/craigslist/cars_trucks/13,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Browse pickup trucks sold by owners with photos."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_bodytype=7&purveyor=owner&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,medium,null,0,validation,null
navi_bench/craigslist/cars_trucks/14,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Find sedans with automatic transmission under $12,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_bodytype=8&auto_transmission=1&max_price=12000#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,hard,null,0,validation,null
navi_bench/craigslist/cars_trucks/15,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Search for convertibles priced between $15,000 and $40,000 with images."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_bodytype=2&min_price=15000&max_price=40000&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,hard,null,0,validation,null
navi_bench/craigslist/cars_trucks/16,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Find 4WD vehicles with images under $25,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_drivetrain=3&hasPic=1&max_price=25000#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,hard,null,0,validation,null
navi_bench/craigslist/cars_trucks/17,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Browse rear-wheel drive cars sold by owners."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_drivetrain=2&purveyor=owner#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,medium,null,0,validation,null
navi_bench/craigslist/cars_trucks/18,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Find front-wheel drive sedans under $15,000 with images."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_drivetrain=1&auto_bodytype=8&max_price=15000&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,hard,null,0,validation,null
navi_bench/craigslist/cars_trucks/19,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Find cars with clean title under $10,000 with images."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?srchType=T&max_price=10000&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,hard,null,0,validation,null
navi_bench/craigslist/cars_trucks/20,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Browse salvage title vehicles under $5,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_title_status=2&max_price=5000#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,medium,null,0,validation,null
navi_bench/craigslist/cars_trucks/21,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Find cars from 2020 or newer with images."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?min_auto_year=2020&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,medium,null,0,validation,null
navi_bench/craigslist/cars_trucks/22,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Browse classic cars from 1985 or older with photos."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?max_auto_year=1985&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,medium,null,0,validation,null
navi_bench/craigslist/cars_trucks/23,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Find cars between 2018 and 2022 priced under $25,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?min_auto_year=2018&max_auto_year=2022&max_price=25000#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,hard,null,0,validation,null
navi_bench/craigslist/cars_trucks/24,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Find low mileage cars under 50,000 miles with images."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?max_auto_miles=50000&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,medium,null,0,validation,null
navi_bench/craigslist/cars_trucks/25,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Browse cars with less than 80,000 miles priced under $15,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?max_auto_miles=80000&max_price=15000#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,hard,null,0,validation,null
navi_bench/craigslist/cars_trucks/26,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Find white SUVs with images under $22,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_paint=10&auto_bodytype=10&hasPic=1&max_price=22000#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,hard,null,0,validation,null
navi_bench/craigslist/cars_trucks/27,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Browse black sedans sold by owners with photos."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_paint=1&auto_bodytype=8&purveyor=owner&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,hard,null,0,validation,null
navi_bench/craigslist/cars_trucks/28,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Find Toyota Camry with automatic transmission under 70,000 miles priced between $12,000 and $22,000 with images."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_make_model=toyota%20camry&auto_transmission=1&max_auto_miles=70000&min_price=12000&max_price=22000&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,hard,null,0,validation,null
navi_bench/craigslist/cars_trucks/29,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Search for Honda CR-V SUVs with 4WD from 2019 or newer under $30,000 with photos."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?auto_make_model=honda%20cr-v&auto_bodytype=10&auto_drivetrain=3&min_auto_year=2019&max_price=30000&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,cars_trucks,hard,null,0,validation,null
navi_bench/craigslist/motorcycles/0,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/mca"", ""task"": ""Find Harley-Davidson motorcycles with images priced under $15,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/mca?auto_make_model=harley&hasPic=1&max_price=15000#search=2~gallery~0""]]}",real,craigslist,marketplace,motorcycles,hard,null,0,validation,null
navi_bench/craigslist/motorcycles/1,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/mca"", ""task"": ""Browse Honda motorcycles sold by owners."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/mca?auto_make_model=honda&purveyor=owner#search=2~gallery~0""]]}",real,craigslist,marketplace,motorcycles,medium,null,0,validation,null
navi_bench/craigslist/motorcycles/2,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/mca"", ""task"": ""Find Yamaha motorcycles priced between $4,000 and $10,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/mca?auto_make_model=yamaha&min_price=4000&max_price=10000#search=2~gallery~0""]]}",real,craigslist,marketplace,motorcycles,hard,null,0,validation,null
navi_bench/craigslist/motorcycles/3,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/mca"", ""task"": ""Search for Kawasaki Ninja motorcycles with images."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/mca?auto_make_model=kawasaki%20ninja&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,motorcycles,medium,null,0,validation,null
navi_bench/craigslist/motorcycles/4,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/mca"", ""task"": ""Browse BMW motorcycles under $18,000 with photos."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/mca?auto_make_model=bmw&max_price=18000&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,motorcycles,hard,null,0,validation,null
navi_bench/craigslist/motorcycles/5,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/mca"", ""task"": ""Find Ducati motorcycles sold by owners with images."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/mca?auto_make_model=ducati&purveyor=owner&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,motorcycles,hard,null,0,validation,null
navi_bench/craigslist/motorcycles/6,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/mca"", ""task"": ""Find motorcycles from 2020 or newer with images."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/mca?min_auto_year=2020&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,motorcycles,medium,null,0,validation,null
navi_bench/craigslist/motorcycles/7,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/mca"", ""task"": ""Browse vintage motorcycles from 1990 or older with photos."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/mca?max_auto_year=1990&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,motorcycles,medium,null,0,validation,null
navi_bench/craigslist/motorcycles/8,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/mca"", ""task"": ""Find motorcycles between 2017 and 2022 priced under $12,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/mca?min_auto_year=2017&max_auto_year=2022&max_price=12000#search=2~gallery~0""]]}",real,craigslist,marketplace,motorcycles,hard,null,0,validation,null
navi_bench/craigslist/motorcycles/9,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/mca"", ""task"": ""Find low mileage motorcycles under 10,000 miles with images."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/mca?max_auto_miles=10000&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,motorcycles,medium,null,0,validation,null
navi_bench/craigslist/motorcycles/10,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/mca"", ""task"": ""Browse motorcycles with less than 25,000 miles priced under $8,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/mca?max_auto_miles=25000&max_price=8000#search=2~gallery~0""]]}",real,craigslist,marketplace,motorcycles,hard,null,0,validation,null
navi_bench/craigslist/motorcycles/11,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/mca"", ""task"": ""Find new condition motorcycles with images."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/mca?condition=10&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,motorcycles,medium,null,0,validation,null
navi_bench/craigslist/motorcycles/12,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/mca"", ""task"": ""Browse motorcycles in excellent condition under $10,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/mca?condition=30&max_price=10000#search=2~gallery~0""]]}",real,craigslist,marketplace,motorcycles,hard,null,0,validation,null
navi_bench/craigslist/motorcycles/13,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/mca"", ""task"": ""Find like-new motorcycles sold by owners."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/mca?condition=20&purveyor=owner#search=2~gallery~0""]]}",real,craigslist,marketplace,motorcycles,medium,null,0,validation,null
navi_bench/craigslist/motorcycles/14,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/mca"", ""task"": ""Find sport bikes under $9,000 with images."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/mca?query=sport%20bike&hasPic=1&max_price=9000#search=2~gallery~0""]]}",real,craigslist,marketplace,motorcycles,hard,null,0,validation,null
navi_bench/craigslist/motorcycles/15,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/mca"", ""task"": ""Browse cruiser motorcycles sold by owners with photos."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/mca?query=cruiser&purveyor=owner&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,motorcycles,hard,null,0,validation,null
navi_bench/craigslist/motorcycles/16,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/mca"", ""task"": ""Search for touring motorcycles priced between $8,000 and $20,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/mca?query=touring&min_price=8000&max_price=20000#search=2~gallery~0""]]}",real,craigslist,marketplace,motorcycles,hard,null,0,validation,null
navi_bench/craigslist/motorcycles/17,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/mca"", ""task"": ""Find dirt bikes under $6,000 with images."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/mca?query=dirt%20bike&hasPic=1&max_price=6000#search=2~gallery~0""]]}",real,craigslist,marketplace,motorcycles,hard,null,0,validation,null
navi_bench/craigslist/motorcycles/18,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/mca"", ""task"": ""Browse adventure motorcycles with photos."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/mca?query=adventure&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,motorcycles,medium,null,0,validation,null
navi_bench/craigslist/motorcycles/19,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/mca"", ""task"": ""Find motorcycles under $5,000 sorted by lowest price with images."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/mca?max_price=5000&sort=priceasc&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,motorcycles,hard,null,0,validation,null
navi_bench/craigslist/motorcycles/20,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/mca"", ""task"": ""Browse Harley-Davidson motorcycles sorted by newest listings."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/mca?auto_make_model=harley&sort=date#search=2~gallery~0""]]}",real,craigslist,marketplace,motorcycles,medium,null,0,validation,null
navi_bench/craigslist/motorcycles/21,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/mca"", ""task"": ""Find Harley-Davidson touring motorcycles from 2018 or newer under $22,000 with images."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/mca?auto_make_model=harley&query=touring&min_auto_year=2018&max_price=22000&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,motorcycles,hard,null,0,validation,null
navi_bench/craigslist/motorcycles/22,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/mca"", ""task"": ""Browse Honda sport bikes with less than 15,000 miles from owners."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/mca?auto_make_model=honda&query=sport&max_auto_miles=15000&purveyor=owner#search=2~gallery~0""]]}",real,craigslist,marketplace,motorcycles,hard,null,0,validation,null
navi_bench/craigslist/motorcycles/23,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/mca"", ""task"": ""Find Suzuki motorcycles in excellent condition priced between $3,000 and $8,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/mca?auto_make_model=suzuki&condition=30&min_price=3000&max_price=8000#search=2~gallery~0""]]}",real,craigslist,marketplace,motorcycles,hard,null,0,validation,null
